"orderid","productid","productname","qty","orderdate","unitprice","custid","shipcountry"
10372,38,"Product QDOMO",40,"2006-12-04 00:00:00",210.8,"62","Brazil"
10372,60,"Product WHBYK",70,"2006-12-04 00:00:00",27.2,"62","Brazil"
10372,72,"Product GEEOO",42,"2006-12-04 00:00:00",27.8,"62","Brazil"
10373,58,"Product ACRVI",80,"2006-12-05 00:00:00",10.6,"37","Ireland"
10373,71,"Product MYMOI",50,"2006-12-05 00:00:00",17.2,"37","Ireland"
10374,31,"Product XWOXC",30,"2006-12-05 00:00:00",10.0,"91","Poland"
10374,58,"Product ACRVI",15,"2006-12-05 00:00:00",10.6,"91","Poland"
10375,14,"Product PWCJB",15,"2006-12-06 00:00:00",18.6,"36","USA"
10375,54,"Product QAQRL",10,"2006-12-06 00:00:00",5.9,"36","USA"
10376,31,"Product XWOXC",42,"2006-12-09 00:00:00",10.0,"51","Canada"
10377,28,"Product OFBNT",20,"2006-12-09 00:00:00",36.4,"72","UK"
10377,39,"Product LSOFL",20,"2006-12-09 00:00:00",14.4,"72","UK"
10378,71,"Product MYMOI",6,"2006-12-10 00:00:00",17.2,"24","Sweden"
10379,41,"Product TTEEX",8,"2006-12-11 00:00:00",7.7,"61","Brazil"
10379,63,"Product ICKNK",16,"2006-12-11 00:00:00",35.1,"61","Brazil"
10379,65,"Product XYWBZ",20,"2006-12-11 00:00:00",16.8,"61","Brazil"
10380,30,"Product LYERX",18,"2006-12-12 00:00:00",20.7,"37","Ireland"
10380,53,"Product BKGEA",20,"2006-12-12 00:00:00",26.2,"37","Ireland"
10380,60,"Product WHBYK",6,"2006-12-12 00:00:00",27.2,"37","Ireland"
10380,70,"Product TOONT",30,"2006-12-12 00:00:00",12.0,"37","Ireland"
10381,74,"Product BKAZJ",14,"2006-12-12 00:00:00",8.0,"46","Venezuela"
10382,5,"Product EPEIM",32,"2006-12-13 00:00:00",17.0,"20","Austria"
10382,18,"Product CKEDC",9,"2006-12-13 00:00:00",50.0,"20","Austria"
10382,29,"Product VJXYN",14,"2006-12-13 00:00:00",99.0,"20","Austria"
10382,33,"Product ASTMN",60,"2006-12-13 00:00:00",2.0,"20","Austria"
10382,74,"Product BKAZJ",50,"2006-12-13 00:00:00",8.0,"20","Austria"
10383,13,"Product POXFU",20,"2006-12-16 00:00:00",4.8,"4","UK"
10383,50,"Product BIUDV",15,"2006-12-16 00:00:00",13.0,"4","UK"
10383,56,"Product VKCMF",20,"2006-12-16 00:00:00",30.4,"4","UK"
10384,20,"Product QHFFP",28,"2006-12-16 00:00:00",64.8,"5","Sweden"
10384,60,"Product WHBYK",15,"2006-12-16 00:00:00",27.2,"5","Sweden"
10385,7,"Product HMLNI",10,"2006-12-17 00:00:00",24.0,"75","USA"
10385,60,"Product WHBYK",20,"2006-12-17 00:00:00",27.2,"75","USA"
10385,68,"Product TBTBL",8,"2006-12-17 00:00:00",10.0,"75","USA"
10386,24,"Product QOGNU",15,"2006-12-18 00:00:00",3.6,"21","Brazil"
10386,34,"Product SWNJY",10,"2006-12-18 00:00:00",11.2,"21","Brazil"
10387,24,"Product QOGNU",15,"2006-12-18 00:00:00",3.6,"70","Norway"
10387,28,"Product OFBNT",6,"2006-12-18 00:00:00",36.4,"70","Norway"
10387,59,"Product UKXRI",12,"2006-12-18 00:00:00",44.0,"70","Norway"
10387,71,"Product MYMOI",15,"2006-12-18 00:00:00",17.2,"70","Norway"
10388,45,"Product AQOKR",15,"2006-12-19 00:00:00",7.6,"72","UK"
10388,52,"Product QSRXF",20,"2006-12-19 00:00:00",5.6,"72","UK"
10388,53,"Product BKGEA",40,"2006-12-19 00:00:00",26.2,"72","UK"
10389,10,"Product YHXGE",16,"2006-12-20 00:00:00",24.8,"10","Canada"
10389,55,"Product YYWRT",15,"2006-12-20 00:00:00",19.2,"10","Canada"
10389,62,"Product WUXYK",20,"2006-12-20 00:00:00",39.4,"10","Canada"
10389,70,"Product TOONT",30,"2006-12-20 00:00:00",12.0,"10","Canada"
10390,31,"Product XWOXC",60,"2006-12-23 00:00:00",10.0,"20","Austria"
10390,35,"Product NEVTJ",40,"2006-12-23 00:00:00",14.4,"20","Austria"
10390,46,"Product CBRRL",45,"2006-12-23 00:00:00",9.6,"20","Austria"
10390,72,"Product GEEOO",24,"2006-12-23 00:00:00",27.8,"20","Austria"
10391,13,"Product POXFU",18,"2006-12-23 00:00:00",4.8,"17","Germany"
10392,69,"Product COAXA",50,"2006-12-24 00:00:00",28.8,"59","Austria"
10393,2,"Product RECZE",25,"2006-12-25 00:00:00",15.2,"71","USA"
10393,14,"Product PWCJB",42,"2006-12-25 00:00:00",18.6,"71","USA"
10393,25,"Product LYLNI",7,"2006-12-25 00:00:00",11.2,"71","USA"
10393,26,"Product HLGZA",70,"2006-12-25 00:00:00",24.9,"71","USA"
10393,31,"Product XWOXC",32,"2006-12-25 00:00:00",10.0,"71","USA"
10394,13,"Product POXFU",10,"2006-12-25 00:00:00",4.8,"36","USA"
10394,62,"Product WUXYK",10,"2006-12-25 00:00:00",39.4,"36","USA"
10395,46,"Product CBRRL",28,"2006-12-26 00:00:00",9.6,"35","Venezuela"
10395,53,"Product BKGEA",70,"2006-12-26 00:00:00",26.2,"35","Venezuela"
10395,69,"Product COAXA",8,"2006-12-26 00:00:00",28.8,"35","Venezuela"
10396,23,"Product JLUDZ",40,"2006-12-27 00:00:00",7.2,"25","Germany"
10396,71,"Product MYMOI",60,"2006-12-27 00:00:00",17.2,"25","Germany"
10396,72,"Product GEEOO",21,"2006-12-27 00:00:00",27.8,"25","Germany"
10397,21,"Product VJZZH",10,"2006-12-27 00:00:00",8.0,"60","Portugal"
10397,51,"Product APITJ",18,"2006-12-27 00:00:00",42.4,"60","Portugal"
10398,35,"Product NEVTJ",30,"2006-12-30 00:00:00",14.4,"71","USA"
10398,55,"Product YYWRT",120,"2006-12-30 00:00:00",19.2,"71","USA"
10399,68,"Product TBTBL",60,"2006-12-31 00:00:00",10.0,"83","Denmark"
10399,71,"Product MYMOI",30,"2006-12-31 00:00:00",17.2,"83","Denmark"
10399,76,"Product JYGFE",35,"2006-12-31 00:00:00",14.4,"83","Denmark"
10399,77,"Product LUNZZ",14,"2006-12-31 00:00:00",10.4,"83","Denmark"
10400,29,"Product VJXYN",21,"2007-01-01 00:00:00",99.0,"19","UK"
10400,35,"Product NEVTJ",35,"2007-01-01 00:00:00",14.4,"19","UK"
10400,49,"Product FPYPN",30,"2007-01-01 00:00:00",16.0,"19","UK"
10401,30,"Product LYERX",18,"2007-01-01 00:00:00",20.7,"65","USA"
10401,56,"Product VKCMF",70,"2007-01-01 00:00:00",30.4,"65","USA"
10401,65,"Product XYWBZ",20,"2007-01-01 00:00:00",16.8,"65","USA"
10401,71,"Product MYMOI",60,"2007-01-01 00:00:00",17.2,"65","USA"
10402,23,"Product JLUDZ",60,"2007-01-02 00:00:00",7.2,"20","Austria"
10402,63,"Product ICKNK",65,"2007-01-02 00:00:00",35.1,"20","Austria"
10403,16,"Product PAFRH",21,"2007-01-03 00:00:00",13.9,"20","Austria"
10403,48,"Product MYNXN",70,"2007-01-03 00:00:00",10.2,"20","Austria"
10404,26,"Product HLGZA",30,"2007-01-03 00:00:00",24.9,"49","Italy"
10404,42,"Product RJVNM",40,"2007-01-03 00:00:00",11.2,"49","Italy"
10404,49,"Product FPYPN",30,"2007-01-03 00:00:00",16.0,"49","Italy"
10405,3,"Product IMEHJ",50,"2007-01-06 00:00:00",8.0,"47","Venezuela"
10406,1,"Product HHYDP",10,"2007-01-07 00:00:00",14.4,"62","Brazil"
10406,21,"Product VJZZH",30,"2007-01-07 00:00:00",8.0,"62","Brazil"
10406,28,"Product OFBNT",42,"2007-01-07 00:00:00",36.4,"62","Brazil"
10406,36,"Product GMKIJ",5,"2007-01-07 00:00:00",15.2,"62","Brazil"
10406,40,"Product YZIXQ",2,"2007-01-07 00:00:00",14.7,"62","Brazil"
10407,11,"Product QMVUN",30,"2007-01-07 00:00:00",16.8,"56","Germany"
10407,69,"Product COAXA",15,"2007-01-07 00:00:00",28.8,"56","Germany"
10407,71,"Product MYMOI",15,"2007-01-07 00:00:00",17.2,"56","Germany"
10408,37,"Product EVFFA",10,"2007-01-08 00:00:00",20.8,"23","France"
10408,54,"Product QAQRL",6,"2007-01-08 00:00:00",5.9,"23","France"
10408,62,"Product WUXYK",35,"2007-01-08 00:00:00",39.4,"23","France"
10409,14,"Product PWCJB",12,"2007-01-09 00:00:00",18.6,"54","Argentina"
10409,21,"Product VJZZH",12,"2007-01-09 00:00:00",8.0,"54","Argentina"
10410,33,"Product ASTMN",49,"2007-01-10 00:00:00",2.0,"10","Canada"
10410,59,"Product UKXRI",16,"2007-01-10 00:00:00",44.0,"10","Canada"
10411,41,"Product TTEEX",25,"2007-01-10 00:00:00",7.7,"10","Canada"
10411,44,"Product VJIEO",40,"2007-01-10 00:00:00",15.5,"10","Canada"
10411,59,"Product UKXRI",9,"2007-01-10 00:00:00",44.0,"10","Canada"
10412,14,"Product PWCJB",20,"2007-01-13 00:00:00",18.6,"87","Finland"
10413,1,"Product HHYDP",24,"2007-01-14 00:00:00",14.4,"41","France"
10413,62,"Product WUXYK",40,"2007-01-14 00:00:00",39.4,"41","France"
10413,76,"Product JYGFE",14,"2007-01-14 00:00:00",14.4,"41","France"
10414,19,"Product XKXDO",18,"2007-01-14 00:00:00",7.3,"21","Brazil"
10414,33,"Product ASTMN",50,"2007-01-14 00:00:00",2.0,"21","Brazil"
10415,17,"Product BLCAX",2,"2007-01-15 00:00:00",31.2,"36","USA"
10415,33,"Product ASTMN",20,"2007-01-15 00:00:00",2.0,"36","USA"
10416,19,"Product XKXDO",20,"2007-01-16 00:00:00",7.3,"87","Finland"
10416,53,"Product BKGEA",10,"2007-01-16 00:00:00",26.2,"87","Finland"
10416,57,"Product OVLQI",20,"2007-01-16 00:00:00",15.6,"87","Finland"
10417,38,"Product QDOMO",50,"2007-01-16 00:00:00",210.8,"73","Denmark"
10417,46,"Product CBRRL",2,"2007-01-16 00:00:00",9.6,"73","Denmark"
10417,68,"Product TBTBL",36,"2007-01-16 00:00:00",10.0,"73","Denmark"
10417,77,"Product LUNZZ",35,"2007-01-16 00:00:00",10.4,"73","Denmark"
10418,2,"Product RECZE",60,"2007-01-17 00:00:00",15.2,"63","Germany"
10418,47,"Product EZZPR",55,"2007-01-17 00:00:00",7.6,"63","Germany"
10418,61,"Product XYZPE",16,"2007-01-17 00:00:00",22.8,"63","Germany"
10418,74,"Product BKAZJ",15,"2007-01-17 00:00:00",8.0,"63","Germany"
10419,60,"Product WHBYK",60,"2007-01-20 00:00:00",27.2,"68","Switzerland"
10419,69,"Product COAXA",20,"2007-01-20 00:00:00",28.8,"68","Switzerland"
10420,9,"Product AOZBW",20,"2007-01-21 00:00:00",77.6,"88","Brazil"
10420,13,"Product POXFU",2,"2007-01-21 00:00:00",4.8,"88","Brazil"
10420,70,"Product TOONT",8,"2007-01-21 00:00:00",12.0,"88","Brazil"
10420,73,"Product WEUJZ",20,"2007-01-21 00:00:00",12.0,"88","Brazil"
10421,19,"Product XKXDO",4,"2007-01-21 00:00:00",7.3,"61","Brazil"
10421,26,"Product HLGZA",30,"2007-01-21 00:00:00",24.9,"61","Brazil"
10421,53,"Product BKGEA",15,"2007-01-21 00:00:00",26.2,"61","Brazil"
10421,77,"Product LUNZZ",10,"2007-01-21 00:00:00",10.4,"61","Brazil"
10422,26,"Product HLGZA",2,"2007-01-22 00:00:00",24.9,"27","Italy"
10423,31,"Product XWOXC",14,"2007-01-23 00:00:00",10.0,"31","Brazil"
10423,59,"Product UKXRI",20,"2007-01-23 00:00:00",44.0,"31","Brazil"
10424,35,"Product NEVTJ",60,"2007-01-23 00:00:00",14.4,"51","Canada"
10424,38,"Product QDOMO",49,"2007-01-23 00:00:00",210.8,"51","Canada"
10424,68,"Product TBTBL",30,"2007-01-23 00:00:00",10.0,"51","Canada"
10425,55,"Product YYWRT",10,"2007-01-24 00:00:00",19.2,"41","France"
10425,76,"Product JYGFE",20,"2007-01-24 00:00:00",14.4,"41","France"
10426,56,"Product VKCMF",5,"2007-01-27 00:00:00",30.4,"29","Spain"
10426,64,"Product HCQDE",7,"2007-01-27 00:00:00",26.6,"29","Spain"
10427,14,"Product PWCJB",35,"2007-01-27 00:00:00",18.6,"59","Austria"
10428,46,"Product CBRRL",20,"2007-01-28 00:00:00",9.6,"66","Italy"
10429,50,"Product BIUDV",40,"2007-01-29 00:00:00",13.0,"37","Ireland"
10429,63,"Product ICKNK",35,"2007-01-29 00:00:00",35.1,"37","Ireland"
10430,17,"Product BLCAX",45,"2007-01-30 00:00:00",31.2,"20","Austria"
10430,21,"Product VJZZH",50,"2007-01-30 00:00:00",8.0,"20","Austria"
10430,56,"Product VKCMF",30,"2007-01-30 00:00:00",30.4,"20","Austria"
10430,59,"Product UKXRI",70,"2007-01-30 00:00:00",44.0,"20","Austria"
10431,17,"Product BLCAX",50,"2007-01-30 00:00:00",31.2,"10","Canada"
10431,40,"Product YZIXQ",50,"2007-01-30 00:00:00",14.7,"10","Canada"
10431,47,"Product EZZPR",30,"2007-01-30 00:00:00",7.6,"10","Canada"
10432,26,"Product HLGZA",10,"2007-01-31 00:00:00",24.9,"75","USA"
10432,54,"Product QAQRL",40,"2007-01-31 00:00:00",5.9,"75","USA"
10433,56,"Product VKCMF",28,"2007-02-03 00:00:00",30.4,"60","Portugal"
10434,11,"Product QMVUN",6,"2007-02-03 00:00:00",16.8,"24","Sweden"
10434,76,"Product JYGFE",18,"2007-02-03 00:00:00",14.4,"24","Sweden"
10435,2,"Product RECZE",10,"2007-02-04 00:00:00",15.2,"16","UK"
10435,22,"Product CPHFY",12,"2007-02-04 00:00:00",16.8,"16","UK"
10435,72,"Product GEEOO",10,"2007-02-04 00:00:00",27.8,"16","UK"
10436,46,"Product CBRRL",5,"2007-02-05 00:00:00",9.6,"7","France"
10436,56,"Product VKCMF",40,"2007-02-05 00:00:00",30.4,"7","France"
10436,64,"Product HCQDE",30,"2007-02-05 00:00:00",26.6,"7","France"
10436,75,"Product BWRLG",24,"2007-02-05 00:00:00",6.2,"7","France"
10437,53,"Product BKGEA",15,"2007-02-05 00:00:00",26.2,"87","Finland"
10438,19,"Product XKXDO",15,"2007-02-06 00:00:00",7.3,"79","Germany"
10438,34,"Product SWNJY",20,"2007-02-06 00:00:00",11.2,"79","Germany"
10438,57,"Product OVLQI",15,"2007-02-06 00:00:00",15.6,"79","Germany"
10439,12,"Product OSFNS",15,"2007-02-07 00:00:00",30.4,"51","Canada"
10439,16,"Product PAFRH",16,"2007-02-07 00:00:00",13.9,"51","Canada"
10439,64,"Product HCQDE",6,"2007-02-07 00:00:00",26.6,"51","Canada"
10439,74,"Product BKAZJ",30,"2007-02-07 00:00:00",8.0,"51","Canada"
10440,2,"Product RECZE",45,"2007-02-10 00:00:00",15.2,"71","USA"
10440,16,"Product PAFRH",49,"2007-02-10 00:00:00",13.9,"71","USA"
10440,29,"Product VJXYN",24,"2007-02-10 00:00:00",99.0,"71","USA"
10440,61,"Product XYZPE",90,"2007-02-10 00:00:00",22.8,"71","USA"
10441,27,"Product SMIOH",50,"2007-02-10 00:00:00",35.1,"55","USA"
10442,11,"Product QMVUN",30,"2007-02-11 00:00:00",16.8,"20","Austria"
10442,54,"Product QAQRL",80,"2007-02-11 00:00:00",5.9,"20","Austria"
10442,66,"Product LQMGN",60,"2007-02-11 00:00:00",13.6,"20","Austria"
10443,11,"Product QMVUN",6,"2007-02-12 00:00:00",16.8,"66","Italy"
10443,28,"Product OFBNT",12,"2007-02-12 00:00:00",36.4,"66","Italy"
10444,17,"Product BLCAX",10,"2007-02-12 00:00:00",31.2,"5","Sweden"
10444,26,"Product HLGZA",15,"2007-02-12 00:00:00",24.9,"5","Sweden"
10444,35,"Product NEVTJ",8,"2007-02-12 00:00:00",14.4,"5","Sweden"
10444,41,"Product TTEEX",30,"2007-02-12 00:00:00",7.7,"5","Sweden"
10445,39,"Product LSOFL",6,"2007-02-13 00:00:00",14.4,"5","Sweden"
10445,54,"Product QAQRL",15,"2007-02-13 00:00:00",5.9,"5","Sweden"
10446,19,"Product XKXDO",12,"2007-02-14 00:00:00",7.3,"79","Germany"
10446,24,"Product QOGNU",20,"2007-02-14 00:00:00",3.6,"79","Germany"
10446,31,"Product XWOXC",3,"2007-02-14 00:00:00",10.0,"79","Germany"
10446,52,"Product QSRXF",15,"2007-02-14 00:00:00",5.6,"79","Germany"
10447,19,"Product XKXDO",40,"2007-02-14 00:00:00",7.3,"67","Brazil"
10447,65,"Product XYWBZ",35,"2007-02-14 00:00:00",16.8,"67","Brazil"
10447,71,"Product MYMOI",2,"2007-02-14 00:00:00",17.2,"67","Brazil"
10448,26,"Product HLGZA",6,"2007-02-17 00:00:00",24.9,"64","Argentina"
10448,40,"Product YZIXQ",20,"2007-02-17 00:00:00",14.7,"64","Argentina"
10449,10,"Product YHXGE",14,"2007-02-18 00:00:00",24.8,"7","France"
10449,52,"Product QSRXF",20,"2007-02-18 00:00:00",5.6,"7","France"
10449,62,"Product WUXYK",35,"2007-02-18 00:00:00",39.4,"7","France"
10450,10,"Product YHXGE",20,"2007-02-19 00:00:00",24.8,"84","France"
10450,54,"Product QAQRL",6,"2007-02-19 00:00:00",5.9,"84","France"
10451,55,"Product YYWRT",120,"2007-02-19 00:00:00",19.2,"63","Germany"
10451,64,"Product HCQDE",35,"2007-02-19 00:00:00",26.6,"63","Germany"
10451,65,"Product XYWBZ",28,"2007-02-19 00:00:00",16.8,"63","Germany"
10451,77,"Product LUNZZ",55,"2007-02-19 00:00:00",10.4,"63","Germany"
10452,28,"Product OFBNT",15,"2007-02-20 00:00:00",36.4,"71","USA"
10452,44,"Product VJIEO",100,"2007-02-20 00:00:00",15.5,"71","USA"
10453,48,"Product MYNXN",15,"2007-02-21 00:00:00",10.2,"4","UK"
10453,70,"Product TOONT",25,"2007-02-21 00:00:00",12.0,"4","UK"
10454,16,"Product PAFRH",20,"2007-02-21 00:00:00",13.9,"41","France"
10454,33,"Product ASTMN",20,"2007-02-21 00:00:00",2.0,"41","France"
10454,46,"Product CBRRL",10,"2007-02-21 00:00:00",9.6,"41","France"
10455,39,"Product LSOFL",20,"2007-02-24 00:00:00",14.4,"87","Finland"
10455,53,"Product BKGEA",50,"2007-02-24 00:00:00",26.2,"87","Finland"
10455,61,"Product XYZPE",25,"2007-02-24 00:00:00",22.8,"87","Finland"
10455,71,"Product MYMOI",30,"2007-02-24 00:00:00",17.2,"87","Finland"
10456,21,"Product VJZZH",40,"2007-02-25 00:00:00",8.0,"39","Germany"
10456,49,"Product FPYPN",21,"2007-02-25 00:00:00",16.0,"39","Germany"
10457,59,"Product UKXRI",36,"2007-02-25 00:00:00",44.0,"39","Germany"
10458,26,"Product HLGZA",30,"2007-02-26 00:00:00",24.9,"76","Belgium"
10458,28,"Product OFBNT",30,"2007-02-26 00:00:00",36.4,"76","Belgium"
10458,43,"Product ZZZHR",20,"2007-02-26 00:00:00",36.8,"76","Belgium"
10458,56,"Product VKCMF",15,"2007-02-26 00:00:00",30.4,"76","Belgium"
10458,71,"Product MYMOI",50,"2007-02-26 00:00:00",17.2,"76","Belgium"
10459,7,"Product HMLNI",16,"2007-02-27 00:00:00",24.0,"84","France"
10459,46,"Product CBRRL",20,"2007-02-27 00:00:00",9.6,"84","France"
10459,72,"Product GEEOO",40,"2007-02-27 00:00:00",27.8,"84","France"
10460,68,"Product TBTBL",21,"2007-02-28 00:00:00",10.0,"24","Sweden"
10460,75,"Product BWRLG",4,"2007-02-28 00:00:00",6.2,"24","Sweden"
10461,21,"Product VJZZH",40,"2007-02-28 00:00:00",8.0,"46","Venezuela"
10461,30,"Product LYERX",28,"2007-02-28 00:00:00",20.7,"46","Venezuela"
10461,55,"Product YYWRT",60,"2007-02-28 00:00:00",19.2,"46","Venezuela"
10462,13,"Product POXFU",1,"2007-03-03 00:00:00",4.8,"16","UK"
10462,23,"Product JLUDZ",21,"2007-03-03 00:00:00",7.2,"16","UK"
10463,19,"Product XKXDO",21,"2007-03-04 00:00:00",7.3,"76","Belgium"
10463,42,"Product RJVNM",50,"2007-03-04 00:00:00",11.2,"76","Belgium"
10464,4,"Product KSBRM",16,"2007-03-04 00:00:00",17.6,"28","Portugal"
10464,43,"Product ZZZHR",3,"2007-03-04 00:00:00",36.8,"28","Portugal"
10464,56,"Product VKCMF",30,"2007-03-04 00:00:00",30.4,"28","Portugal"
10464,60,"Product WHBYK",20,"2007-03-04 00:00:00",27.2,"28","Portugal"
10465,24,"Product QOGNU",25,"2007-03-05 00:00:00",3.6,"83","Denmark"
10465,29,"Product VJXYN",18,"2007-03-05 00:00:00",99.0,"83","Denmark"
10465,40,"Product YZIXQ",20,"2007-03-05 00:00:00",14.7,"83","Denmark"
10465,45,"Product AQOKR",30,"2007-03-05 00:00:00",7.6,"83","Denmark"
10465,50,"Product BIUDV",25,"2007-03-05 00:00:00",13.0,"83","Denmark"
10466,11,"Product QMVUN",10,"2007-03-06 00:00:00",16.8,"15","Brazil"
10466,46,"Product CBRRL",5,"2007-03-06 00:00:00",9.6,"15","Brazil"
10467,24,"Product QOGNU",28,"2007-03-06 00:00:00",3.6,"49","Italy"
10467,25,"Product LYLNI",12,"2007-03-06 00:00:00",11.2,"49","Italy"
10468,30,"Product LYERX",8,"2007-03-07 00:00:00",20.7,"39","Germany"
10468,43,"Product ZZZHR",15,"2007-03-07 00:00:00",36.8,"39","Germany"
10469,2,"Product RECZE",40,"2007-03-10 00:00:00",15.2,"89","USA"
10469,16,"Product PAFRH",35,"2007-03-10 00:00:00",13.9,"89","USA"
10469,44,"Product VJIEO",2,"2007-03-10 00:00:00",15.5,"89","USA"
10470,18,"Product CKEDC",30,"2007-03-11 00:00:00",50.0,"9","France"
10470,23,"Product JLUDZ",15,"2007-03-11 00:00:00",7.2,"9","France"
10470,64,"Product HCQDE",8,"2007-03-11 00:00:00",26.6,"9","France"
10471,7,"Product HMLNI",30,"2007-03-11 00:00:00",24.0,"11","UK"
10471,56,"Product VKCMF",20,"2007-03-11 00:00:00",30.4,"11","UK"
10472,24,"Product QOGNU",80,"2007-03-12 00:00:00",3.6,"72","UK"
10472,51,"Product APITJ",18,"2007-03-12 00:00:00",42.4,"72","UK"
10473,33,"Product ASTMN",12,"2007-03-13 00:00:00",2.0,"38","UK"
10473,71,"Product MYMOI",12,"2007-03-13 00:00:00",17.2,"38","UK"
10474,14,"Product PWCJB",12,"2007-03-13 00:00:00",18.6,"58","Mexico"
10474,28,"Product OFBNT",18,"2007-03-13 00:00:00",36.4,"58","Mexico"
10474,40,"Product YZIXQ",21,"2007-03-13 00:00:00",14.7,"58","Mexico"
10474,75,"Product BWRLG",10,"2007-03-13 00:00:00",6.2,"58","Mexico"
10475,31,"Product XWOXC",35,"2007-03-14 00:00:00",10.0,"76","Belgium"
10475,66,"Product LQMGN",60,"2007-03-14 00:00:00",13.6,"76","Belgium"
10475,76,"Product JYGFE",42,"2007-03-14 00:00:00",14.4,"76","Belgium"
10476,55,"Product YYWRT",2,"2007-03-17 00:00:00",19.2,"35","Venezuela"
10476,70,"Product TOONT",12,"2007-03-17 00:00:00",12.0,"35","Venezuela"
10477,1,"Product HHYDP",15,"2007-03-17 00:00:00",14.4,"60","Portugal"
10477,21,"Product VJZZH",21,"2007-03-17 00:00:00",8.0,"60","Portugal"
10477,39,"Product LSOFL",20,"2007-03-17 00:00:00",14.4,"60","Portugal"
10478,10,"Product YHXGE",20,"2007-03-18 00:00:00",24.8,"84","France"
10479,38,"Product QDOMO",30,"2007-03-19 00:00:00",210.8,"65","USA"
10479,53,"Product BKGEA",28,"2007-03-19 00:00:00",26.2,"65","USA"
10479,59,"Product UKXRI",60,"2007-03-19 00:00:00",44.0,"65","USA"
10479,64,"Product HCQDE",30,"2007-03-19 00:00:00",26.6,"65","USA"
10480,47,"Product EZZPR",30,"2007-03-20 00:00:00",7.6,"23","France"
10480,59,"Product UKXRI",12,"2007-03-20 00:00:00",44.0,"23","France"
10481,49,"Product FPYPN",24,"2007-03-20 00:00:00",16.0,"67","Brazil"
10481,60,"Product WHBYK",40,"2007-03-20 00:00:00",27.2,"67","Brazil"
10482,40,"Product YZIXQ",10,"2007-03-21 00:00:00",14.7,"43","USA"
10483,34,"Product SWNJY",35,"2007-03-24 00:00:00",11.2,"89","USA"
10483,77,"Product LUNZZ",30,"2007-03-24 00:00:00",10.4,"89","USA"
10484,21,"Product VJZZH",14,"2007-03-24 00:00:00",8.0,"11","UK"
10484,40,"Product YZIXQ",10,"2007-03-24 00:00:00",14.7,"11","UK"
10484,51,"Product APITJ",3,"2007-03-24 00:00:00",42.4,"11","UK"
10485,2,"Product RECZE",20,"2007-03-25 00:00:00",15.2,"47","Venezuela"
10485,3,"Product IMEHJ",20,"2007-03-25 00:00:00",8.0,"47","Venezuela"
10485,55,"Product YYWRT",30,"2007-03-25 00:00:00",19.2,"47","Venezuela"
10485,70,"Product TOONT",60,"2007-03-25 00:00:00",12.0,"47","Venezuela"
10486,11,"Product QMVUN",5,"2007-03-26 00:00:00",16.8,"35","Venezuela"
10486,51,"Product APITJ",25,"2007-03-26 00:00:00",42.4,"35","Venezuela"
10486,74,"Product BKAZJ",16,"2007-03-26 00:00:00",8.0,"35","Venezuela"
10487,19,"Product XKXDO",5,"2007-03-26 00:00:00",7.3,"62","Brazil"
10487,26,"Product HLGZA",30,"2007-03-26 00:00:00",24.9,"62","Brazil"
10487,54,"Product QAQRL",24,"2007-03-26 00:00:00",5.9,"62","Brazil"
10488,59,"Product UKXRI",30,"2007-03-27 00:00:00",44.0,"25","Germany"
10488,73,"Product WEUJZ",20,"2007-03-27 00:00:00",12.0,"25","Germany"
10489,11,"Product QMVUN",15,"2007-03-28 00:00:00",16.8,"59","Austria"
10489,16,"Product PAFRH",18,"2007-03-28 00:00:00",13.9,"59","Austria"
10490,59,"Product UKXRI",60,"2007-03-31 00:00:00",44.0,"35","Venezuela"
10490,68,"Product TBTBL",30,"2007-03-31 00:00:00",10.0,"35","Venezuela"
10490,75,"Product BWRLG",36,"2007-03-31 00:00:00",6.2,"35","Venezuela"
10491,44,"Product VJIEO",15,"2007-03-31 00:00:00",15.5,"28","Portugal"
10491,77,"Product LUNZZ",7,"2007-03-31 00:00:00",10.4,"28","Portugal"
10492,25,"Product LYLNI",60,"2007-04-01 00:00:00",11.2,"10","Canada"
10492,42,"Product RJVNM",20,"2007-04-01 00:00:00",11.2,"10","Canada"
10493,65,"Product XYWBZ",15,"2007-04-02 00:00:00",16.8,"41","France"
10493,66,"Product LQMGN",10,"2007-04-02 00:00:00",13.6,"41","France"
10493,69,"Product COAXA",10,"2007-04-02 00:00:00",28.8,"41","France"
10494,56,"Product VKCMF",30,"2007-04-02 00:00:00",30.4,"15","Brazil"
10495,23,"Product JLUDZ",10,"2007-04-03 00:00:00",7.2,"42","Canada"
10495,41,"Product TTEEX",20,"2007-04-03 00:00:00",7.7,"42","Canada"
10495,77,"Product LUNZZ",5,"2007-04-03 00:00:00",10.4,"42","Canada"
10496,31,"Product XWOXC",20,"2007-04-04 00:00:00",10.0,"81","Brazil"
10497,56,"Product VKCMF",14,"2007-04-04 00:00:00",30.4,"44","Germany"
10497,72,"Product GEEOO",25,"2007-04-04 00:00:00",27.8,"44","Germany"
10497,77,"Product LUNZZ",25,"2007-04-04 00:00:00",10.4,"44","Germany"
10498,24,"Product QOGNU",14,"2007-04-07 00:00:00",4.5,"35","Venezuela"
10498,40,"Product YZIXQ",5,"2007-04-07 00:00:00",18.4,"35","Venezuela"
10498,42,"Product RJVNM",30,"2007-04-07 00:00:00",14.0,"35","Venezuela"
